id,source,source_label,notice_type,notice_type_label,code,title,employer,province,city,publish_date,deadline,description,detail_url,all_links,source_page,source_page_url,raw_text,scraped_at_utc
hezareh-tender-1-2,hezareh,هزاره,tender,مناقصه,,ورود ثبت نام صفحه اصلی مناقصه مناقصه ها مناقصه های امروز مناقصه های ستاد ایران مناقصه ها به تفکیک منطقه دسته بندی مناقصه ها مناقصه گزاران مناقصه پیمان,,,,1405-04-17,1405-04-20,ورود ثبت نام صفحه اصلی مناقصه مناقصه ها مناقصه های امروز مناقصه های ستاد ایران مناقصه ها به تفکیک منطقه دسته بندی مناقصه ها مناقصه گزاران مناقصه پیمانکاری مناقصه آب و فاضلاب، آبیاری و زهکشی، سد و کانال، منابع طبی... مناقصه آشپزخانه های صنعتی، رختشویخانه صنعتی، قفسه بندی مناقصه ابزارآلات صنعتی، ابزار و یراق، انواع قالبها، فیلتر... مناقصه ابنیه و عمران، راهسازی، راه آهن، ساختمان، معماری د... مناقصه اتوماسیون صنعتی، مراکز کنترل صنعتی، طراحی، مهندسی... مناقصه برق، الکترونیک، مخابرات، کامپیوتر، شبکه، ماشین های... مناقصه پروژه های عمرانی رتبه بالا، رتبه 1 و 2 مناقصه تاسیسات پیمانکاری، تجهیزات مکانیکی، ساختمانی و صنع... مناقصه تبلیغات، صنعت چاپ، بسته بندی ظروف پلاستیکی و کارتن... مناقصه خدمات بیمه ,https://www.hezarehinfo.net/,['https://www.hezarehinfo.net/'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-17/pto-1405-04-18/page-01,ورود ثبت نام صفحه اصلی مناقصه مناقصه ها مناقصه های امروز مناقصه های ستاد ایران مناقصه ها به تفکیک منطقه دسته بندی مناقصه ها مناقصه گزاران مناقصه پیمانکاری مناقصه آب و فاضلاب، آبیاری و زهکشی، سد و کانال، منابع طبی... مناقصه آشپزخانه های صنعتی، رختشویخانه صنعتی، قفسه بندی مناقصه ابزارآلات صنعتی، ابزار و یراق، انواع قالبها، فیلتر... مناقصه ابنیه و عمران، راهسازی، راه آهن، ساختمان، معماری د... مناقصه اتوماسیون صنعتی، مراکز کنترل صنعتی، طراحی، مهندسی... مناقصه برق، الکترونیک، مخابرات، کامپیوتر، شبکه، ماشین های... مناقصه پروژه های عمرانی رتبه بالا، رتبه 1 و 2 مناقصه تاسیسات پیمانکاری، تجهیزات مکانیکی، ساختمانی و صنع... مناقصه تبلیغات، صنعت چاپ، بسته بندی ظروف پلاستیکی و کارتن... مناقصه خدمات بیمه ای، نیروی انسانی، میزبانی و اجرای همایش... مناقصه خدمات و تجهیزات آزمایشگاهی، پزشکی، خدمات بهداشتی د... مناقصه درب های ضد حریق، صندوق های نسوز، سیستم های ایمنی،... مناقصه سرمایه گذاری، بین المللی، مشارکت، پروژه های بزرگ،... مناقصه صنایع فولاد، آهن آلات، آلومینیوم، پروفیل PVC، انوا... مناقصه صنایع ریخته گری، مفتولی، ورقکاری، ماشین کاری، تراش... مناقصه صنایع شیمیایی، گازهای طبی، پلیمر، لاستیک، پلاستیک،... مناقصه صنعت خودرو، وسایل نقلیه، قطعات، خودروسازی مناقصه صنعت معدن، مواد معدنی و نسوز، صنعت شیشه، صنعت چوب مناقصه لوازم خانگی، تجهیزات آشپزخانه، رختشویخانه مناقصه لوله، اتصالات، شیرآلات، دریچه های چدنی، مخازن فلزی... مناقصه ماشین آلات صنعتی، سنگین، ساختمان، حفاری، جرثقیل، خ... مناقصه ماشین آلات و تجهیزات صنایع غذایی، دامپروری، شیلات،... مناقصه مصنوعات چوبی، مبلمان اداری، تجهیزات آموزشی، لوازم... مناقصه نساجی، پوشاک، البسه، فرش و محصولات چرمی، تجهیزات و... مناقصه نفت و گاز، پتروشیمی، احداث پالایشگاه، کارخانه، انو... مناقصه نقشه برداری، ژئوتکنیک، ژئوفیزیک، مهندسی و مشاوره م... مزایده مزایده ها مزایده های امروز مزایده های ستاد ایران مزایده اموال تملیکی مزایده در استانها دسته بندی مزایده ه,2026-07-09T10:12:46+00:00
hezareh-tender-1-3,hezareh,هزاره,tender,مناقصه,,مناقصه,,,,,,مناقصه مناقصه ها مناقصه های امروز مناقصه های ستاد ایران مناقصه ها به تفکیک منطقه دسته بندی مناقصه ها مناقصه گزاران مناقصه پیمانکاری مناقصه آب و فاضلاب، آبیاری و زهکشی، سد و کانال، منابع طبی... مناقصه آشپزخانه های صنعتی، رختشویخانه صنعتی، قفسه بندی مناقصه ابزارآلات صنعتی، ابزار و یراق، انواع قالبها، فیلتر... مناقصه ابنیه و عمران، راهسازی، راه آهن، ساختمان، معماری د... مناقصه اتوماسیون صنعتی، مراکز کنترل صنعتی، طراحی، مهندسی... مناقصه برق، الکترونیک، مخابرات، کامپیوتر، شبکه، ماشین های... مناقصه پروژه های عمرانی رتبه بالا، رتبه 1 و 2 مناقصه تاسیسات پیمانکاری، تجهیزات مکانیکی، ساختمانی و صنع... مناقصه تبلیغات، صنعت چاپ، بسته بندی ظروف پلاستیکی و کارتن... مناقصه خدمات بیمه ای، نیروی انسانی، میزبا,https://www.hezarehinfo.net/tenders,['https://www.hezarehinfo.net/tenders'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-17/pto-1405-04-18/page-01,مناقصه مناقصه ها مناقصه های امروز مناقصه های ستاد ایران مناقصه ها به تفکیک منطقه دسته بندی مناقصه ها مناقصه گزاران مناقصه پیمانکاری مناقصه آب و فاضلاب، آبیاری و زهکشی، سد و کانال، منابع طبی... مناقصه آشپزخانه های صنعتی، رختشویخانه صنعتی، قفسه بندی مناقصه ابزارآلات صنعتی، ابزار و یراق، انواع قالبها، فیلتر... مناقصه ابنیه و عمران، راهسازی، راه آهن، ساختمان، معماری د... مناقصه اتوماسیون صنعتی، مراکز کنترل صنعتی، طراحی، مهندسی... مناقصه برق، الکترونیک، مخابرات، کامپیوتر، شبکه، ماشین های... مناقصه پروژه های عمرانی رتبه بالا، رتبه 1 و 2 مناقصه تاسیسات پیمانکاری، تجهیزات مکانیکی، ساختمانی و صنع... مناقصه تبلیغات، صنعت چاپ، بسته بندی ظروف پلاستیکی و کارتن... مناقصه خدمات بیمه ای، نیروی انسانی، میزبانی و اجرای همایش... مناقصه خدمات و تجهیزات آزمایشگاهی، پزشکی، خدمات بهداشتی د... مناقصه درب های ضد حریق، صندوق های نسوز، سیستم های ایمنی،... مناقصه سرمایه گذاری، بین المللی، مشارکت، پروژه های بزرگ،... مناقصه صنایع فولاد، آهن آلات، آلومینیوم، پروفیل PVC، انوا... مناقصه صنایع ریخته گری، مفتولی، ورقکاری، ماشین کاری، تراش... مناقصه صنایع شیمیایی، گازهای طبی، پلیمر، لاستیک، پلاستیک،... مناقصه صنعت خودرو، وسایل نقلیه، قطعات، خودروسازی مناقصه صنعت معدن، مواد معدنی و نسوز، صنعت شیشه، صنعت چوب مناقصه لوازم خانگی، تجهیزات آشپزخانه، رختشویخانه مناقصه لوله، اتصالات، شیرآلات، دریچه های چدنی، مخازن فلزی... مناقصه ماشین آلات صنعتی، سنگین، ساختمان، حفاری، جرثقیل، خ... مناقصه ماشین آلات و تجهیزات صنایع غذایی، دامپروری، شیلات،... مناقصه مصنوعات چوبی، مبلمان اداری، تجهیزات آموزشی، لوازم... مناقصه نساجی، پوشاک، البسه، فرش و محصولات چرمی، تجهیزات و... مناقصه نفت و گاز، پتروشیمی، احداث پالایشگاه، کارخانه، انو... مناقصه نقشه برداری، ژئوتکنیک، ژئوفیزیک، مهندسی و مشاوره م...,2026-07-09T10:12:46+00:00
hezareh-tender-1-4,hezareh,هزاره,tender,مناقصه,,مناقصه پیمانکاری,,,,,,مناقصه پیمانکاری مناقصه آب و فاضلاب، آبیاری و زهکشی، سد و کانال، منابع طبی... مناقصه آشپزخانه های صنعتی، رختشویخانه صنعتی، قفسه بندی مناقصه ابزارآلات صنعتی، ابزار و یراق، انواع قالبها، فیلتر... مناقصه ابنیه و عمران، راهسازی، راه آهن، ساختمان، معماری د... مناقصه اتوماسیون صنعتی، مراکز کنترل صنعتی، طراحی، مهندسی... مناقصه برق، الکترونیک، مخابرات، کامپیوتر، شبکه، ماشین های... مناقصه پروژه های عمرانی رتبه بالا، رتبه 1 و 2 مناقصه تاسیسات پیمانکاری، تجهیزات مکانیکی، ساختمانی و صنع... مناقصه تبلیغات، صنعت چاپ، بسته بندی ظروف پلاستیکی و کارتن... مناقصه خدمات بیمه ای، نیروی انسانی، میزبانی و اجرای همایش... مناقصه خدمات و تجهیزات آزمایشگاهی، پزشکی، خدمات بهداشتی د... مناقصه درب های ضد حریق، صندوق های ,https://www.hezarehinfo.net/tenders/tag/%d9%85%d9%86%d8%a7%d9%82%d8%b5%d9%87-%d9%be%db%8c%d9%85%d8%a7%d9%86%da%a9%d8%a7%d8%b1%db%8c,['https://www.hezarehinfo.net/tenders/tag/%d9%85%d9%86%d8%a7%d9%82%d8%b5%d9%87-%d9%be%db%8c%d9%85%d8%a7%d9%86%da%a9%d8%a7%d8%b1%db%8c'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-17/pto-1405-04-18/page-01,مناقصه پیمانکاری مناقصه آب و فاضلاب، آبیاری و زهکشی، سد و کانال، منابع طبی... مناقصه آشپزخانه های صنعتی، رختشویخانه صنعتی، قفسه بندی مناقصه ابزارآلات صنعتی، ابزار و یراق، انواع قالبها، فیلتر... مناقصه ابنیه و عمران، راهسازی، راه آهن، ساختمان، معماری د... مناقصه اتوماسیون صنعتی، مراکز کنترل صنعتی، طراحی، مهندسی... مناقصه برق، الکترونیک، مخابرات، کامپیوتر، شبکه، ماشین های... مناقصه پروژه های عمرانی رتبه بالا، رتبه 1 و 2 مناقصه تاسیسات پیمانکاری، تجهیزات مکانیکی، ساختمانی و صنع... مناقصه تبلیغات، صنعت چاپ، بسته بندی ظروف پلاستیکی و کارتن... مناقصه خدمات بیمه ای، نیروی انسانی، میزبانی و اجرای همایش... مناقصه خدمات و تجهیزات آزمایشگاهی، پزشکی، خدمات بهداشتی د... مناقصه درب های ضد حریق، صندوق های نسوز، سیستم های ایمنی،... مناقصه سرمایه گذاری، بین المللی، مشارکت، پروژه های بزرگ،... مناقصه صنایع فولاد، آهن آلات، آلومینیوم، پروفیل PVC، انوا...,2026-07-09T10:12:46+00:00
hezareh-tender-1-5,hezareh,هزاره,tender,مناقصه,,مناقصه آب و فاضلاب، آبیاری و زهکشی، سد و کانال، منابع طبی...,,,,,,مناقصه آب و فاضلاب، آبیاری و زهکشی، سد و کانال، منابع طبی...,https://www.hezarehinfo.net/tenders/250,['https://www.hezarehinfo.net/tenders/250'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-17/pto-1405-04-18/page-01,مناقصه آب و فاضلاب، آبیاری و زهکشی، سد و کانال، منابع طبی...,2026-07-09T10:12:46+00:00
hezareh-tender-1-6,hezareh,هزاره,tender,مناقصه,,مناقصه آشپزخانه های صنعتی، رختشویخانه صنعتی، قفسه بندی,,,,,,مناقصه آشپزخانه های صنعتی، رختشویخانه صنعتی، قفسه بندی,https://www.hezarehinfo.net/tenders/319,['https://www.hezarehinfo.net/tenders/319'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-17/pto-1405-04-18/page-01,مناقصه آشپزخانه های صنعتی، رختشویخانه صنعتی، قفسه بندی,2026-07-09T10:12:46+00:00
hezareh-tender-1-7,hezareh,هزاره,tender,مناقصه,,مناقصه ابزارآلات صنعتی، ابزار و یراق، انواع قالبها، فیلتر...,,,,,,مناقصه ابزارآلات صنعتی، ابزار و یراق، انواع قالبها، فیلتر...,https://www.hezarehinfo.net/tenders/360,['https://www.hezarehinfo.net/tenders/360'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-17/pto-1405-04-18/page-01,مناقصه ابزارآلات صنعتی، ابزار و یراق، انواع قالبها، فیلتر...,2026-07-09T10:12:46+00:00
hezareh-tender-1-8,hezareh,هزاره,tender,مناقصه,,مناقصه ابنیه و عمران، راهسازی، راه آهن، ساختمان، معماری د...,,,,,,مناقصه ابنیه و عمران، راهسازی، راه آهن، ساختمان، معماری د...,https://www.hezarehinfo.net/tenders/255,['https://www.hezarehinfo.net/tenders/255'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-17/pto-1405-04-18/page-01,مناقصه ابنیه و عمران، راهسازی، راه آهن، ساختمان، معماری د...,2026-07-09T10:12:46+00:00
hezareh-tender-1-9,hezareh,هزاره,tender,مناقصه,,مناقصه اتوماسیون صنعتی، مراکز کنترل صنعتی، طراحی، مهندسی...,,,,,,مناقصه اتوماسیون صنعتی، مراکز کنترل صنعتی، طراحی، مهندسی...,https://www.hezarehinfo.net/tenders/316,['https://www.hezarehinfo.net/tenders/316'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-17/pto-1405-04-18/page-01,مناقصه اتوماسیون صنعتی، مراکز کنترل صنعتی، طراحی، مهندسی...,2026-07-09T10:12:46+00:00
hezareh-tender-1-10,hezareh,هزاره,tender,مناقصه,,مناقصه برق، الکترونیک، مخابرات، کامپیوتر، شبکه، ماشین های...,,,,,,مناقصه برق، الکترونیک، مخابرات، کامپیوتر، شبکه، ماشین های...,https://www.hezarehinfo.net/tenders/274,['https://www.hezarehinfo.net/tenders/274'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-17/pto-1405-04-18/page-01,مناقصه برق، الکترونیک، مخابرات، کامپیوتر، شبکه، ماشین های...,2026-07-09T10:12:46+00:00
hezareh-tender-1-11,hezareh,هزاره,tender,مناقصه,,مناقصه پروژه های عمرانی رتبه بالا، رتبه 1 و 2,,,,,,مناقصه پروژه های عمرانی رتبه بالا، رتبه 1 و 2,https://www.hezarehinfo.net/tenders/388,['https://www.hezarehinfo.net/tenders/388'],1,https://www.hezarehinfo.net/tenders/-!/pfrom-1405-04-17/pto-1405-04-18/page-01,مناقصه پروژه های عمرانی رتبه بالا، رتبه 1 و 2,2026-07-09T10:12:46+00:00
